date,FR FP Equity_2001-08-08,ALO FP Equity_2002-04-03,DSY FP Equity_2002-08-06,SW FP Equity_2005-01-03,CO FP Equity_2005-09-01,TFI FP Equity_2005-12-19,HO FP Equity_2006-07-28,PUB FP Equity_2006-12-18,VANTI FP Equity_2007-06-18,AF FP Equity_2009-09-21,DEXB BB Equity_2010-09-20,MMB FP Equity_2010-09-20,SEV FP Equity_2011-09-16,SEV FP Equity_2011-12-16,UG FP Equity_2012-09-21,ALU FP Equity_2012-12-21,STMPA FP Equity_2013-12-20,VK FP Equity_2014-06-18,GTO NA Equity_2015-03-18,EDF FP Equity_2015-12-18,ALO FP Equity_2016-03-18,LI FP Equity_2017-03-20,SOLB BB Equity_2018-09-24,WLN FP Equity_2019-06-24,FR FP Equity_2019-06-24,SW FP Equity_2020-06-22,AC FP Equity_2020-09-21,ATO FP Equity_2021-09-17,VIV FP Equity_2023-06-16,WLN FP Equity_2023-12-15
2001-08-08,-0.40393045160821756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-09,-0.1711583886104874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-10,-0.72923125686982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-13,-0.7533212409704617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-14,-0.7754592349658965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-16,-0.8319390209817479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-17,-0.2539955551429719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-20,-0.520271267517075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-21,-0.5175495095624704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-22,-0.8380376115364333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-23,-0.7128742414797489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-24,-0.37380363483192536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-27,-0.9549033694170864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-28,-0.5692871727238648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-29,5.827053556258012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-30,-0.8870160208880948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,-0.5576568407184919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-03,-0.8975457392635263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-04,-0.3795581457748455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-05,-0.3108723560954755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-06,-0.4660037369537912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-07,-0.5664617497580231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-10,-0.6226922986191984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-11,-0.7528183553840355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-12,-0.09185244937567068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-13,-0.5300576857055521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-14,-0.5124721296503959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-17,-0.5802734582764463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-18,-0.5148961264025114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-19,-0.6579847208490432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-20,-0.18817268428457173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-21,-0.44081975613881913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-24,-0.7405351543717235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25,-0.2802205973473876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-26,-0.43057897641172893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-27,-0.6169091143752978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-28,-0.288205008851171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,-0.3875800531337572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-02,-0.33818918937568476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-03,-0.5637355805263446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-04,-0.46671395256269127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-05,-0.48030730286595574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-08,-0.7239200792728282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-09,-0.8193073290805967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-10,-0.5411520475464445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-11,-0.6765209071136278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-12,-0.597318632890048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-15,-0.7454382888393782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-16,-0.21164288395632846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-17,-0.48192624155208197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-18,-0.08102938107482392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-19,0.09809273014997033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-22,-0.40806602386501145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-23,0.05565403906038559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-24,-0.35978900756810217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-25,-0.7686129329471828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-26,-0.7104458334505594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-29,-0.8044391197029712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-30,-0.7551850055341901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31,-0.8052949074553104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,-0.8732572476945586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-02,-0.6799418524844477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-05,-0.6117743878612625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-06,-0.6825202439341501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-07,-0.6613990493042523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-08,-0.5319721799556305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-09,-0.5255317154277168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-12,-0.516548149666692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-13,-0.6106848024240059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-14,0.1829546728593811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-15,-0.777270064204738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-16,-0.4893504208674784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-19,-0.5559695272377199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-20,-0.4162268864517514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-21,-0.7605491184560689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-22,-0.6902664464759423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-23,-0.7141160159760556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-26,-0.29718416333512193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-27,-0.19478077734129415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-28,2.3036584810349963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-29,-0.7206777906235018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30,0.897919021529521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-03,-0.575800423323498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-04,-0.35800685163024115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-05,0.7719814723463647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-06,-0.25737018210451573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-07,-0.7877953713030956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-10,-0.5033804876010602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-11,-0.42753960650780254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-12,-0.6087129615719665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-13,-0.6109406564942929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-14,-0.8051361014806495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-17,-0.16519434200655636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-18,-0.4552446321705162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-19,-0.5241884815587101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-20,-0.7036304103713632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-21,-0.45598131544185977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-24,-0.9580464043322499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-27,-0.8602748592660312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-28,-0.8342372963372569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,-0.8342372963372569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-02,-0.8687511281635559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-03,-0.6281203750586489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-04,-0.6430349028455504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-07,-0.7600241764842732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-08,-0.24700809225789294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-09,-0.3194302336188677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-10,-0.38588391709883746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-11,-0.6659603097986789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-14,-0.17872814006932297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-15,-0.4968848821097226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-16,-0.2548844274733655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-17,-0.37052385032747065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-18,-0.3937492241216252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-21,-0.6868256503582897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-22,-0.5943785167202846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-23,-0.513844036820383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-24,-0.6362172741278171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-25,-0.8090224365827673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-28,-0.3527552262737471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-29,-0.4894011505538284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-30,-0.47038192944965035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-31,-0.738925038239745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,-0.4684740521151828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-04,-0.5196272210642836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-05,-0.3626916278827373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-06,-0.403806935850148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-07,-0.1579929321833926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-08,-0.7312427992155246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-11,-0.3482557236583554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-12,-0.5691989471823865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-13,-0.6469499112486488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-14,-0.6504083524745968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-15,-0.49682753550776176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-18,-0.9217548278451635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-19,-0.04457899861307675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-20,-0.7222746729242585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-21,-0.5885666591754036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-22,-0.6454324319352225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-25,-0.858294195859844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-26,0.0497892461906176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-27,-0.5177833072473877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
