date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1
2/2/1999,,,575907,101005,1947150,263387,427880,207520,142207.0,57120,,,,428.0,421859.0,,,875941.0,2544677.0,2573676,11815,,,101005,140876,,69379,,575907,263387,621305,24490,3745017,
2/3/1999,,,473418,43219,1623920,386262,150243,324410,138249.0,14580,,,,533.0,301658.0,,,5315227.0,3436754.0,2328318,15536,,,43219,42212,,72157,,473418,386262,969390,45824,2984694,
2/4/1999,,,385569,82009,2085630,251362,131871,665520,85125.0,40630,,,,900.0,277349.0,,,2151333.0,3873869.0,2360982,25911,,,82009,40981,,86166,,385569,251362,1582025,39024,3144547,
2/5/1999,,,576135,46773,1425850,208402,81486,867150,157684.0,83050,,,,638.0,283044.0,,,1208795.0,9420018.0,5056674,22341,,,46773,25603,,61933,,576135,208402,1408090,24230,5082139,
2/8/1999,,,557934,31734,1758370,313548,64030,238070,266871.0,58500,,,,757.0,350120.0,,,993243.0,7401926.0,2489310,134411,,,31734,43526,,41643,,557934,313548,1817185,20346,9040762,
2/9/1999,,,679482,142395,2723130,343629,78202,455270,287080.0,88920,,,,434.0,383315.0,,,1119746.0,6333666.0,1991178,96058,,,142395,23336,,62314,,679482,343629,2925645,40884,6353378,
2/10/1999,,,667896,103996,4840540,556524,90669,442280,191921.0,53730,,,,410.0,347345.0,,,704310.0,4965108.0,2922246,25207,,,103996,37530,,58640,,667896,556524,1421970,40418,7526738,
2/11/1999,,,1237452,76664,1409420,339413,178667,301990,151837.0,45410,,,,489.0,196294.0,,,4287547.0,3595091.0,1574544,43620,,,76664,67010,,44493,,1237452,339413,2678425,101460,4392436,
2/12/1999,,,835326,36201,1952100,414745,93140,311160,510649.0,278110,,,,542.0,929939.0,,,1905957.0,5018326.0,2541630,57586,,,36201,16368,,135375,,835326,414745,1261435,70884,5294780,
2/15/1999,,,468027,27541,982290,160834,46460,370930,78751.0,86970,,,,193.0,257319.0,,,1545473.0,2384359.0,889770,52983,,,27541,51474,,77722,,468027,160834,1263425,30636,3197139,
2/16/1999,,,493731,37930,632090,402503,70601,472890,339338.0,180100,,,,265.0,953480.0,,,1602403.0,2577034.0,2526066,22840,,,37930,81361,,32585,,493731,402503,842330,17758,4370036,
2/17/1999,,,749814,56477,1224350,214578,86770,572660,381944.0,60430,,,,476.0,474367.0,,,1207656.0,2391029.0,4404288,27257,,,56477,61865,,50705,,749814,214578,898435,50802,5900600,
2/18/1999,,,348066,60166,1396840,216077,95082,514690,271112.0,310700,,,,295.0,1112068.0,,,813549.0,3902918.0,2976048,40618,,,60166,107353,,32314,,348066,216077,815965,19440,4345748,
2/19/1999,,,474210,18872,1167540,181471,91441,249380,221141.0,204280,,,,603.0,533169.0,,,1916463.0,4345745.0,1571304,35527,,,18872,149657,,83246,,474210,181471,925125,36212,4338145,
2/22/1999,,,528606,16363,774210,142616,167671,376020,117208.0,112140,,,,603.0,198008.0,,,1884686.0,2330155.0,2954760,7670,,,16363,24169,,83246,,528606,142616,347195,40086,3567818,
2/23/1999,,,858609,17788,695480,249638,365228,492630,244839.0,43080,,1429690.0,,583.0,376328.0,,,2624689.0,4523272.0,2521908,17526,,,17788,69471,,71739,,858609,249638,465155,68484,6339133,
2/24/1999,,,591036,96049,954870,583443,809758,119370,271942.0,51630,,670942.0,,1891.0,181206.0,,,1834197.0,6202096.0,1424418,11663,,,96049,96360,,65721,,591036,583443,561275,28156,5066678,
2/25/1999,,,515136,50420,825460,457317,592973,130000,572666.0,42450,,327000.0,,1241.0,200792.0,,,1194415.0,3728542.0,2016810,66576,,,50420,38770,,74696,,515136,457317,796455,19470,2920430,
2/26/1999,,,1322649,23782,853380,278995,349092,456290,606837.0,141000,,201858.0,,337.0,557667.0,,,2861595.0,3462962.0,2535414,22555,,,23782,118715,,53862,,1322649,278995,743770,67974,5025796,
3/1/1999,,,499782,38787,366630,217352,270324,179970,284713.0,60900,,165651.0,,687.0,229047.0,,,1700786.0,2269086.0,4343772,23937,,,38787,27176,,45684,,499782,217352,590950,73420,2394265,
3/2/1999,,,513444,24918,622880,171500,1661836,208720,417334.0,38690,,159166.0,,515.0,276593.0,,,2343994.0,3981232.0,1951962,60891,,,24918,112914,,68928,,513444,171500,389250,64310,3899316,
