date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1,MSCI FRANCE
1/25/1999,,,0.020689627,-0.005429196,0.021220159,-0.037804046,0.0,-0.025769956,0.012461059,0.031746032,,0.064666989,,-0.007874013,0.016713881,,,0.0,0.036770721,-0.001222089,-0.006918794,,,-0.005429196,-0.004516702,,-0.023331005,,0.020689627,-0.037804046,-0.017957686,-0.016949001,-0.010080001,,0.003830289
1/26/1999,,,0.005404047,0.012406757,-0.025974026,0.001901154,0.02573121,0.064516129,0.066153846,0.04,,-1.0,,0.044011537,0.049874617,,,0.011597278,0.005912829,0.04544952,0.009755496,,,0.012406757,-0.001134299,,0.005966977,,0.005404047,0.001901154,-0.011427139,0.022167472,0.0061087,,0.006457294
1/27/1999,,,0.032931452,0.045588625,0.021866667,0.015810541,0.00228074,0.060606061,-0.0002886,-0.023668639,,,,0.01174845,0.035031847,,,0.043015045,-0.035263275,0.075208167,-0.004483323,,,0.045588625,-0.071594553,,-0.009323962,,0.032931452,0.015810541,0.04046397,0.030360659,0.047777113,,0.023135997
1/28/1999,,,0.007155488,-0.013127111,0.06993737,-0.027396358,-0.027304191,0.0,0.02482679,-0.03030303,,,,0.005464481,-0.012307692,,,0.028175773,0.041628775,0.006557377,0.057192514,,,-0.013127111,0.0,,0.007699563,,0.007155488,-0.027396358,0.0,0.038354483,-0.005412913,,0.010071259
1/29/1999,,,-0.019379845,0.039904614,0.034146341,0.012165181,-0.002338186,-0.021714286,-0.01971831,0.0390625,,,,0.002717392,0.034527518,,,-0.002672579,-0.005849425,0.011941368,0.003275908,,,0.039904614,0.025708979,,-0.001699071,,-0.019379845,0.012165181,0.055552706,-0.0135139,0.019816141,,0.010064905
2/1/1999,,,-0.025031621,-0.031521323,-0.005896226,0.056292708,0.066235917,0.010514019,0.005747126,0.0,,,,-0.016260164,-0.0293601,,,-0.033510683,-0.024511703,0.00536911,0.0,,,-0.031521323,0.013117505,,-0.004249811,,-0.025031621,0.056292708,0.005264522,-0.054794901,-0.009523179,,-0.010802757
2/2/1999,,,-0.006758099,-0.02358455,-0.072360617,0.017964212,0.000550685,-0.005780347,-0.005714286,0.031578947,,,,0.002754821,-0.024043433,,,-0.073512797,-0.003013197,-0.039489777,-0.01470342,,,-0.02358455,0.001187959,,0.023929175,,-0.006758099,0.017964212,0.00994618,0.00483106,-0.007693464,,-0.011109019
2/3/1999,,,0.027212245,0.017874074,0.061381074,-0.005883489,-0.009341337,-0.058139535,-0.007183908,-0.008017493,,,,0.0,-0.018543046,,,-0.006731912,-0.020162854,-0.01,0.008290914,,,0.017874074,-0.002362213,,0.001669282,,0.027212245,-0.005883489,0.005703915,0.028845726,-0.015506225,,-0.004855293
2/4/1999,,,-0.037088693,0.010916209,-0.024096386,-0.042011105,-0.017193303,-0.036419753,0.013024602,0.006612785,,,,0.012362639,0.025910931,,,0.013561339,-0.045264567,-0.079683502,0.019407112,,,0.010916209,0.014152282,,0.015836743,,-0.037088693,-0.042011105,-0.025260277,-0.042056086,-0.011808566,,-0.004400651
2/5/1999,,,0.083909331,0.032864008,0.009876543,-0.017911289,0.025959079,0.023702755,0.042857143,0.05620438,,,,0.01153324,0.003157064,,,0.011155058,0.042022246,0.026824325,0.042271763,,,0.032864008,0.006982774,,-0.002465692,,0.083909331,-0.017911289,0.084084047,-0.004389213,-0.035857677,,0.003363121
