date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity,WLN FP Equity.1,TEP FP Equity,ALO FP Equity.1,STLAP FP Equity,ERF FP Equity,EDEN FP Equity.1,VIV FP Equity.1,MSCI FRANCE
1/25/1999,-0.025769956,,,-0.010080001,0.021220159,0.009286624,,0.026895377,0.0,,0.031746032,0.002840909,,,-0.005429196,-0.006918794,0.064666989,,,,,0.006498093,0.031746032,-0.01092081,,-0.023331005,,0.036770721,0.020689627,0.0,-0.004516702,,-0.037804046,-0.016949001,-0.001222089,0.077696724,0.021220159,,0.012461059,,0.008547009,-0.005429196,,0.0,,-0.010080001,0.003830289
1/26/1999,0.064516129,,,0.0061087,-0.025974026,-0.025766137,,0.042856173,0.0,,0.04,0.035410765,,,0.012406757,0.009755496,-1.0,,,,,0.010161404,0.04,0.014725077,,0.005966977,,0.005912829,0.005404047,0.011597278,-0.001134299,,0.001901154,0.022167472,0.04544952,-0.052068731,-0.025974026,,0.066153846,,0.006933744,0.012406757,,0.014947683,,0.0061087,0.006457294
1/27/1999,0.060606061,,,0.047777113,0.021866667,-0.017632212,,-0.002278921,0.013458035,,-0.023668639,0.021887825,,,0.045588625,-0.004483323,,,,,,0.023758579,-0.023668639,-0.010890693,,-0.009323962,,-0.035263275,0.032931452,0.043015045,-0.071594553,,0.015810541,0.030360659,0.075208167,0.05632315,0.021866667,,-0.0002886,,-0.000765111,0.045588625,,0.0,,0.047777113,0.023135997
1/28/1999,0.0,,,-0.005412913,0.06993737,0.062819663,,0.0,0.051233432,,-0.03030303,-0.014725569,,,-0.013127111,0.057192514,,,,,,0.057135878,-0.03030303,0.060553517,,0.007699563,,0.041628775,0.007155488,0.028175773,0.0,,-0.027396358,0.038354483,0.006557377,0.0,0.06993737,,0.02482679,,-0.014548239,-0.013127111,,-0.013254786,,-0.005412913,0.010071259
1/29/1999,-0.021714286,,,0.019816141,0.034146341,0.047045089,,-0.004577576,-0.043319376,,0.0390625,-0.027717391,,,0.039904614,0.003275908,,,,,,-0.0202583,0.0390625,-0.031136746,,-0.001699071,,-0.005849425,-0.019379845,-0.002672579,0.025708979,,0.012165181,-0.0135139,0.011941368,0.012,0.034146341,,-0.01971831,,0.004662005,0.039904614,,0.011940299,,0.019816141,0.010064905
2/1/1999,0.010514019,,,-0.009523179,-0.005896226,-0.04953939,,-0.034485019,0.047172468,,0.0,-0.04136389,,,-0.031521323,0.0,,,,,,-0.00172965,0.0,0.033028022,,-0.004249811,,-0.024511703,-0.025031621,-0.033510683,0.013117505,,0.056292708,-0.054794901,0.00536911,-0.050079051,-0.005896226,,0.005747126,,-0.022428461,-0.031521323,,-0.005899705,,-0.009523179,-0.010802757
2/2/1999,-0.005780347,,,-0.007693464,-0.072360617,-0.021817957,,-0.035474202,-0.00901417,,0.031578947,0.017492711,,,-0.02358455,-0.01470342,,,,,,-0.0276436,0.031578947,-0.021608131,,0.023929175,,-0.003013197,-0.006758099,-0.073512797,0.001187959,,0.017964212,0.00483106,-0.039489777,0.067989847,-0.072360617,,-0.005714286,,-0.027689873,-0.02358455,,-0.004451039,,-0.007693464,-0.011109019
2/3/1999,-0.058139535,,,-0.015506225,0.061381074,-0.002477491,,-0.004696677,-0.007267493,,-0.008017493,0.032951289,,,0.017874074,0.008290914,,,,,,0.0,-0.008017493,0.000890464,,0.001669282,,-0.020162854,0.027212245,-0.006731912,-0.002362213,,-0.005883489,0.028845726,-0.01,-0.013012818,0.061381074,,-0.007183908,,-0.016273393,0.017874074,,-0.004470939,,-0.015506225,-0.004855293
2/4/1999,-0.036419753,,,-0.011808566,-0.024096386,-0.010559446,,0.008184712,-0.005496464,,0.006612785,-0.018030513,,,0.010916209,0.019407112,,,,,,-0.005318718,0.006612785,-0.00265048,,0.015836743,,-0.045264567,-0.037088693,0.013561339,0.014152282,,-0.042011105,-0.042056086,-0.079683502,-0.006552718,-0.024096386,,0.013024602,,-0.031430935,0.010916209,,-0.068862275,,-0.011808566,-0.004400651
2/5/1999,0.023702755,,,-0.035857677,0.009876543,-0.023854426,,0.013039339,-0.009207421,,0.05620438,0.015536723,,,0.032864008,0.042271763,,,,,,-0.007138592,0.05620438,0.017701335,,-0.002465692,,0.042022246,0.083909331,0.011155058,0.006982774,,-0.017911289,-0.004389213,0.026824325,0.012556125,0.009876543,,0.042857143,,0.006831768,0.032864008,,0.0,,-0.035857677,0.003363121
2/8/1999,-0.01126408,,,-0.026031196,-0.090464548,-0.043730257,,-0.028651708,0.010221681,,0.002073255,-0.036161335,,,0.05454525,-0.039628193,,,,,,-0.009896389,0.002073255,-0.028696907,,-0.001644575,,-0.012407232,0.012053284,-0.02205788,0.020204718,,-0.031449095,-0.034787736,-0.026123577,-0.00062787,-0.090464548,,-0.04109589,,0.04749788,0.05454525,,-0.003215434,,-0.026031196,-0.026910554
2/9/1999,-0.025316456,,,-0.010605998,-0.025537634,0.028917413,,-0.007496435,0.002757896,,-0.034482759,-0.013852814,,,0.024569157,-0.049321781,,,,,,-0.016345915,-0.034482759,-0.006269917,,-0.025537833,,-0.036652046,-0.021942347,-0.003012387,-0.020370118,,-0.017532637,-0.025380118,0.010975583,0.023559901,-0.025537634,,-0.04,,-0.033198381,0.024569157,,-0.032258065,,-0.010605998,-0.011022537
2/10/1999,-0.012987013,,,0.024438287,-0.013241379,0.045752327,,-0.002524527,-0.031188051,,0.010714286,-0.025460931,,,0.009675754,-0.016617851,,,,,,0.013838596,0.010714286,-0.019817621,,0.023666363,,0.045652398,0.008973077,-0.01206715,-0.028886656,,0.024456192,0.06250043,0.037389536,-0.015345072,-0.013241379,,-0.004464286,,0.025125628,0.009675754,,-0.048333333,,0.024438287,0.015623445
2/11/1999,-0.026315789,,,0.008791189,-0.010343864,0.0,,0.007582461,0.032192059,,0.0204947,0.033033033,,,0.002083694,-0.010344494,,,,,,0.009109032,0.0204947,0.007353864,,0.037991456,,-0.012471724,0.00254257,-0.015266594,0.01130609,,-0.024515137,-0.020098483,-0.00697676,-0.001324658,-0.010343864,,-0.043348281,,0.04003268,0.002083694,,0.03502627,,0.008791189,-0.001469724
2/12/1999,0.000675676,,,0.00207726,0.002824859,0.006250091,,0.0,-0.018347313,,0.011080332,-0.010174419,,,-0.039501012,-0.024390866,,,,,,-0.032485527,0.011080332,0.0,,0.002381633,,-0.010527133,0.012673004,0.0,0.017645842,,0.019841416,-0.019510453,-0.02810311,-0.051340069,0.002824859,,-0.003125,,0.003142184,-0.039501012,,0.016920474,,0.00207726,0.00117751
2/15/1999,0.012829169,,,0.0,0.015492958,-0.02608762,,-0.010027059,0.015888514,,0.02739726,0.0020558,,,0.042423928,0.01428671,,,,,,-0.00187165,0.02739726,-0.005479925,,-0.014284357,,0.018083162,0.001254069,-0.003872597,0.017339866,,0.037611354,0.010204385,-0.018072333,0.026730271,0.015492958,,-0.04137931,,0.007830854,0.042423928,,0.063227953,,0.0,-0.001764187
2/16/1999,0.052666667,,,-0.01904779,-0.004160888,-0.033162583,,0.0005054,-0.00644106,,-0.003333333,0.011137163,,,0.007060045,-0.026409729,,,,,,-0.009347388,-0.003333333,-0.021096437,,0.024962157,,-0.024556226,-0.003127496,-0.009340716,-0.011366385,,-0.018750174,-0.034848307,-0.012883467,-0.049425241,-0.004160888,,-0.027141923,,-0.003108003,0.007060045,,-0.014084507,,-0.01904779,-0.01580756
2/17/1999,0.000633312,,,-0.00802193,0.030640669,0.052769678,,-0.000505144,-0.009258592,,0.010033445,-0.026086957,,,-0.03092784,-0.030739703,,,,,,-0.007542733,0.010033445,-0.010313032,,0.003932045,,0.055169222,-0.024451441,0.00549795,-0.017240279,,0.007643384,-0.006802505,-0.024238718,-0.037921881,0.030640669,,0.01512605,,-0.037412315,-0.03092784,,0.0,,-0.00802193,0.013367917
2/18/1999,-0.015822785,,,0.012342769,-0.027027027,0.038846543,,0.022784236,0.065421864,,0.052980132,0.008630952,,,-0.017446818,-0.013806571,,,,,,0.012368155,0.052980132,-0.001889213,,0.016425546,,-0.015224299,0.042416507,-0.020313007,-0.028657078,,0.013274461,0.001053493,0.068789984,0.019007577,-0.027027027,,0.05794702,,0.0048583,-0.017446818,,0.019047619,,0.012342769,0.020082693
