,date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity,WLN FP Equity.1,TEP FP Equity,ALO FP Equity.1,STLAP FP Equity,ERF FP Equity,EDEN FP Equity.1,VIV FP Equity.1,MSCI FRANCE,,,
10,2/8/1999,15.98,,,22.2848,4.09,67.0817,,10.1076,16.5824,,14.47,17.975,,,186.9677,26.4761,,,,,,3.6579,14.47,10.9524,,10.1546,,18.3522,26.2667,16.3615,9.3592,,28.5668,77.168,14.0333,25.483,4.09,,36.5,,11.79,186.9677,,0.622,,22.2848,104.42,,,
11,2/9/1999,15.8,,,21.7047,3.72,64.1482,,9.818,16.7519,,14.5,17.325,,,197.1659,25.4269,,,,,,3.6217,14.5,10.6381,,10.1379,,18.1245,26.5833,16.0006,9.5483,,27.6684,74.4835,13.6667,25.467,3.72,,35,,12.35,197.1659,,0.62,,21.7047,101.61,,,
12,2/10/1999,15.4,,,21.4745,3.625,66.0032,,9.7444,16.7981,,14,17.085,,,202.0101,24.1728,,,,,,3.5625,14,10.5714,,9.879,,17.4602,26,15.9524,9.3538,,27.1833,72.5931,13.8167,26.067,3.625,,33.6,,11.94,202.0101,,0.6,,21.4745,100.49,,,
13,2/11/1999,15.2,,,21.9993,3.577,69.023,,9.7198,16.2742,,14.15,16.65,,,203.9647,23.7711,,,,,,3.6118,14.15,10.3619,,10.1128,,18.2573,26.2333,15.7599,9.0836,,27.8481,77.1302,14.3333,25.667,3.577,,33.45,,12.24,203.9647,,0.571,,21.9993,102.06,,,
14,2/12/1999,14.8,,,22.1927,3.54,69.023,,9.7935,16.7981,,14.44,17.2,,,204.3897,23.5252,,,,,,3.6447,14.44,10.4381,,10.497,,18.0296,26.3,15.5193,9.1863,,27.1654,75.58,14.2333,25.633,3.54,,32,,12.73,204.3897,,0.591,,22.1927,101.91,,,
15,2/15/1999,14.81,,,22.2388,3.55,69.4544,,9.7935,16.4899,,14.6,17.025,,,196.3161,22.9514,,,,,,3.5263,14.6,10.4381,,10.522,,17.8398,26.6333,15.5193,9.3484,,27.7044,74.1054,13.8333,24.317,3.55,,31.9,,12.77,196.3161,,0.601,,22.2388,102.03,,,
16,2/16/1999,15,,,22.2388,3.605,67.6425,,9.6953,16.7519,,15,17.06,,,204.6446,23.2793,,,,,,3.5197,15,10.3809,,10.3717,,18.1624,26.6667,15.4592,9.5105,,28.7464,74.8616,13.5833,24.967,3.605,,30.58,,12.87,204.6446,,0.639,,22.2388,101.85,,,
17,2/17/1999,15.79,,,21.8152,3.59,65.3993,,9.7002,16.644,,14.95,17.25,,,206.0894,22.6645,,,,,,3.4868,14.95,10.1619,,10.6306,,17.7164,26.5833,15.3148,9.4024,,28.2074,72.2528,13.4083,23.733,3.59,,29.75,,12.83,206.0894,,0.63,,21.8152,100.24,,,
18,2/18/1999,15.8,,,21.6402,3.7,68.8504,,9.6953,16.4899,,15.1,16.8,,,199.7155,21.9678,,,,,,3.4605,15.1,10.0571,,10.6724,,18.6938,25.9333,15.399,9.2403,,28.423,71.7613,13.0833,22.833,3.7,,30.2,,12.35,199.7155,,0.63,,21.6402,101.58,,,
19,2/19/1999,15.55,,,21.9073,3.6,71.525,,9.9162,17.5687,,15.9,16.945,,,196.2311,21.6645,,,,,,3.5033,15.9,10.0381,,10.8477,,18.4092,27.0333,15.0862,8.9755,,28.8003,71.8369,13.9833,23.267,3.6,,31.95,,12.41,196.2311,,0.642,,21.9073,103.62,,,
20,2/22/1999,16.4,,,21.9993,3.769,71.6113,,10.1371,17.2296,,16.32,17.415,,,203.9647,22.1727,81.2,,,,,3.4539,16.32,10.019,,10.522,,18.6179,27.6667,15.2787,9.1863,,29.6447,75.6178,14.5,23.333,3.769,,31.81,,12.41,203.9647,,0.688,,21.9993,104.51,,,
21,2/23/1999,16.5,,,22.469,3.8,72.129,,9.8671,17.7228,,15.85,17.45,,,201.4152,22.394,89.2696,,,,,3.4572,15.85,10.0571,,10.6974,,19.1493,28.6667,15.399,9.2403,,29.2854,77.5082,14.5,23.033,3.8,,31.01,,12.76,201.4152,,0.67,,22.469,105.55,,,
22,2/24/1999,16.61,,,22.469,3.63,72.0427,,9.7321,17.7999,,15.16,18,,,210.7636,22.4186,90.2783,,,,,3.4539,15.16,10.2857,,10.664,,19.7946,27.7667,15.0501,9.0782,,28.2074,74.6726,14.6,22.9,3.63,,29.77,,12.35,210.7636,,0.669,,22.469,105.69,,,
23,2/25/1999,17.1,,,22.2204,3.8,71.6545,,9.5726,17.2296,,15.35,17.7,,,210.7636,21.7219,87.2018,,,,,3.4868,15.35,10.0952,,10.5721,,18.9785,27.0333,15.0381,9.0349,,26.9677,72.8956,14,22.617,3.8,,28.76,,12.52,210.7636,,0.669,,22.2204,104.22,,,
24,2/26/1999,16.69,,,21.8704,3.61,73.5526,,9.6437,16.6132,,15.3,17.4,,,211.1035,21.3366,86.2435,,,,,3.4211,15.3,10.019,,10.4552,,18.5989,25.3833,14.617,8.7864,,26.806,71.0807,13.525,22.35,3.61,,27,,12.23,211.1035,,0.647,,21.8704,102.69,,,
25,3/1/1999,15.8,,,21.8428,3.51,71.7839,,10.0389,16.5207,,14.99,17.475,,,205.2395,20.9186,84.8313,,,,,3.4737,14.99,9.7333,,10.4135,,18.2858,26.0167,14.5208,9.0782,,26.4826,68.8122,12.875,21.783,3.51,,26.5,,12.17,205.2395,,0.66,,21.8428,101.48,,,
26,3/2/1999,15.68,,,21.5758,3.55,71.4388,,10.3015,16.7827,,14.9,17.2,,,200.9902,20.4268,85.2348,,,,,3.4211,14.9,9.4648,,10.4051,,19.2632,25.9,14.3283,9.0782,,27.9739,73.6895,13,21.333,3.55,,26.78,,11.96,200.9902,,0.65,,21.5758,102.04,,,
27,3/3/1999,16.35,,,21.2903,3.579,69.1524,,10.0144,16.7057,,15.15,17.145,,,195.4662,20.4104,84.4783,,,,,3.4671,15.15,9.5238,,10.2548,,20.7056,24.2333,13.9915,9.1863,,26.9498,72.6309,12.3667,21.933,3.579,,26.41,,11.94,195.4662,,0.64,,21.2903,101.07,,,
28,3/4/1999,16.97,,,21.5481,3.52,70.7485,,9.9898,16.644,,15.31,17.175,,,196.3161,20.4104,83.2679,,,,,3.4342,15.31,9.4781,,10.2548,,21.6165,24.3333,14.5569,9.3862,,25.9077,69.9465,13.4667,22,3.52,,27.99,,11.82,196.3161,,0.64,,21.5481,102.93,,,
29,3/5/1999,17.15,,,21.806,3.585,71.6545,,9.5971,16.9214,,15.3,17.55,,,186.9677,20.8202,83.4696,,,,,3.3684,15.3,9.8667,,10.3216,,22.7363,24.2,15.4953,9.3808,,27.3091,70.7783,13.775,21.967,3.585,,30.68,,11.69,186.9677,,0.65,,21.806,105.47,,,
30,3/8/1999,16.66,,,21.7507,3.58,71.0505,,9.8057,17.8461,,15.3,17.5,,,192.0668,21.3038,83.2174,,,,,3.3421,15.3,9.8095,,10.1379,,22.2238,24.9667,15.4953,9.3754,,27.7762,74.6726,14.3333,21.833,3.58,,30.3,,11.59,192.0668,,0.626,,21.7507,105.15,,,
31,3/9/1999,16.77,,,21.4745,3.575,70.3171,,9.8916,17.4146,,15.3,17.59,,,193.7665,23.3613,81.7044,,,,,3.3553,15.3,9.8857,,9.7788,,22.0151,26,15.6998,9.37,,26.9677,71.421,14.5833,21.867,3.575,,28.4,,11.69,193.7665,,0.63,,21.4745,104.68,,,
32,3/10/1999,16.4,,,21.5297,3.5,70.5328,,10.4807,17.3221,,15.71,17.325,,,204.6446,21.312,82.7131,,,,,3.3421,15.71,9.619,,9.6034,,21.9392,25,15.5795,9.2619,,26.2491,70.1355,14.05,21.9,3.5,,28.5,,11.7,204.6446,,0.64,,21.5297,104.79,,,
33,3/11/1999,16.31,,,21.2719,3.56,67.2111,,10.3089,16.644,,15.4,16.2,,,208.214,21.7219,80.7965,,,,,3.3355,15.4,9.7143,,9.4782,,22.4895,25.5,15.7599,9.2943,,26.9498,68.5853,14.2167,21.917,3.56,,29.5,,11.7,208.214,,0.64,,21.2719,105.68,,,
34,3/12/1999,16.1,,,21.9165,3.477,67.5562,,10.493,16.7057,,15.85,15.44,,,203.8797,21.2301,80.7461,,,,,3.4079,15.85,9.7143,,9.378,,22.6414,25.1833,16.0727,9.2943,,26.2311,65.7875,13.75,22.667,3.477,,28.02,,11.41,203.8797,,0.64,,21.9165,105.46,,,
