,date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES,,
10,2/8/1999,524.673,,524.673,748,2587.668,,65.17,397.714,,,210.398,,530.677,,132.48,,,108.63,,293.75,72.284,195.25,653.54,,,,114.99,,,2747.908,577.708,208,,,275,,50.5,59.333,198.742,78.18,733,313.061,,128.369,,,,268.427,241.877,,,1241.938,,,509.833,,511.5,126.217,158.5,734,,,,194.82,381.5,135.265,194.82,381.5,135.265,2692.85,,
11,2/9/1999,501.933,,501.933,744,2842.79,,61.663,417.185,,,208.229,,521.277,,139.217,,,108.63,,293.25,70.106,193.5,659.034,,,,113.754,,,2570.715,574.948,207.5,,,269.5,,51.5,60,193.344,78.18,737,309.759,,131.16,,,,266.836,245.017,,,1238.59,,,509.833,,524,122.972,161.25,725,,,,193.63,388.75,133.795,193.63,388.75,133.795,2670.65,,
12,2/10/1999,488.068,,488.068,762,2791.765,,61.478,417.6,,,207.686,,527.935,,148.947,,,107.606,,291.5,70.542,191.75,660.255,,,,115.979,,,2579.153,554.25,204.5,,,262.5,,51.7,59.905,190.644,77.86,743.5,301.503,,130.85,,,,268.958,241.429,,,1213.819,,,513.917,,531.5,121.89,164.5,726.5,,,,189.72,386.5,138.836,189.72,386.5,138.836,2665.16,,
13,2/11/1999,491.95,,491.95,802,2748.03,,62.77,431.478,,,208.771,,513.053,,147.45,,,106.581,,294,74.461,193,661.476,,,,117.958,,,2553.839,548.731,206.5,,,263,,52.2,58.571,190.644,77.86,741,301.173,,126.974,,,,270.018,243.223,,,1163.606,,,525,,565,121.168,165,704.5,,,,195.84,396.5,134.425,195.84,396.5,134.425,2711.71,,
14,2/12/1999,486.958,,486.958,803,2784.476,,61.663,425.885,,,208.771,,513.445,,150.444,,,105.556,,292.3,74.896,192.25,663.003,,,,116.721,,,2657.905,558.85,210,,,260,,52.2,58.381,189.632,79.15,742.5,299.852,,126.974,,,,270.018,248.045,,,1142.851,,,525,,588.5,121.168,164.5,676,,,,193.63,398.25,131.274,193.63,398.25,131.274,2735.41,,
15,2/15/1999,494.723,,494.723,818,2853.723,,61.663,418.635,,,207.686,,512.27,,149.695,,,105.556,,293.5,72.719,194.25,661.782,,,,115.238,,,2750.721,558.39,212.5,,,257.5,,52.4,58.952,189.969,79.15,740.5,296.219,,124.804,,,,270.018,253.427,,,1185.699,,,514.208,,566.5,121.168,162,679.5,,,,195.84,400,129.489,195.84,400,129.489,2761.57,,
16,2/16/1999,487.513,,487.513,844,2886.525,,61.663,420.085,,,208.229,,549.084,,149.695,,,105.556,,299.5,72.719,197.25,659.95,,,,114.496,,,2781.66,550.111,210.5,,,255.5,,53,58.952,188.957,79.15,741.5,294.898,,122.323,,,,270.018,263.071,,,1207.793,,,519.167,,572.5,120.447,161.75,693,,,,204.85,416,129.699,204.85,416,129.699,2795.39,,
17,2/17/1999,496.387,,496.387,886.5,2901.103,,61.293,426.714,,,205.517,,555.35,,149.695,,,105.556,,297.5,72.284,196.5,659.034,,,,111.775,,,2745.096,549.191,209.5,,,252.5,,53.9,57.905,189.294,79.47,708.5,289.945,,120.463,,,,270.018,255.67,,,1198.42,,,525,,573.5,120.447,162,676.5,,,,205.36,429.25,128.649,205.36,429.25,128.649,2782.3,,
18,2/18/1999,509.698,,509.698,901.5,2877.413,,61.404,424.021,,,204.433,,574.933,,143.708,,,105.556,,297.4,68.8,195.5,659.95,,,,120.431,,,2739.471,533.092,208.5,,,252.5,,54.2,57.81,189.632,79.79,680,287.963,,119.997,,,,270.549,260.155,,,1167.623,,,523.542,,573.5,120.447,163.25,683.5,,,,211.65,445.5,126.443,211.65,445.5,126.443,2779.17,,
19,2/19/1999,519.127,,519.127,882.5,2921.149,,61.847,424.643,,,202.806,,566.708,,138.468,,,105.556,,296.4,67.929,193.5,660.255,,,,118.205,,,2705.72,536.312,208.5,,,254.5,,54.8,57.429,193.006,79.79,716,283.34,,119.842,,,,271.079,253.427,,,1183.021,,,534.333,,565.5,120.087,161,685,,,,212.33,442,128.124,212.33,442,128.124,2764.7,,
