security_ticker,market_ticker,event_date
SGRO LN Equity,FTSE ALL SHARES,9/20/2010
COB LN Equity,FTSE ALL SHARES,12/20/2010
ACA LN Equity,FTSE ALL SHARES,3/21/2011
ATST LN Equity,FTSE ALL SHARES,3/21/2011
BNZL LN Equity,FTSE ALL SHARES,3/21/2011
ISYS LN Equity,FTSE ALL SHARES,5/25/2011
TT/ LN Equity,FTSE ALL SHARES,6/20/2011
III LN Equity,FTSE ALL SHARES,9/19/2011
WG/ LN Equity,FTSE ALL SHARES,9/19/2011
AU/ LN Equity,FTSE ALL SHARES,10/7/2011
ISAT LN Equity,FTSE ALL SHARES,12/19/2011
INVP LN Equity,FTSE ALL SHARES,12/19/2011
LMI LN Equity,FTSE ALL SHARES,12/19/2011
ESSR LN Equity,FTSE ALL SHARES,3/19/2012
CNE LN Equity,FTSE ALL SHARES,3/19/2012
EMG LN Equity,FTSE ALL SHARES,6/18/2012
IAP LN Equity,FTSE ALL SHARES,9/24/2012
ASHM LN Equity,FTSE ALL SHARES,9/24/2012
PNN LN Equity,FTSE ALL SHARES,12/24/2012
INTU LN Equity,FTSE ALL SHARES,3/18/2013
KAZ LN Equity,FTSE ALL SHARES,3/18/2013
POLY LN Equity,FTSE ALL SHARES,6/24/2013
EVR LN Equity,FTSE ALL SHARES,6/24/2013
ENRC LN Equity,FTSE ALL SHARES,9/23/2013
WG/ LN Equity,FTSE ALL SHARES,9/23/2013
SRP LN Equity,FTSE ALL SHARES,9/23/2013
CRDA LN Equity,FTSE ALL SHARES,12/23/2013
VED LN Equity,FTSE ALL SHARES,12/23/2013
AMFW LN Equity,FTSE ALL SHARES,3/24/2014
TATE LN Equity,FTSE ALL SHARES,3/24/2014
MRO LN Equity,FTSE ALL SHARES,6/23/2014
WMH LN Equity,FTSE ALL SHARES,6/23/2014
BDEV LN Equity,FTSE ALL SHARES,9/22/2014
REX LN Equity,FTSE ALL SHARES,9/22/2014
PFC LN Equity,FTSE ALL SHARES,12/22/2014
IMI LN Equity,FTSE ALL SHARES,12/22/2014
TLW LN Equity,FTSE ALL SHARES,3/20/2015
