date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES
1/25/1999,0.058266208,,0.058266208,-0.004358655,0.022222474,,0.010069798,-0.01097712,,,0.005451987,,-0.006779346,,-0.021132061,,,0.0,,0.008818342,-0.023449414,0.005215124,-0.005016335,,,,0.022914912,,,0.006265669,-0.00792464,-0.015337423,,,0.0,,0.0,0.003314879,0.004116155,0.038370018,0.018461538,-0.00357251,,-0.004337305,,,,0.021048089,0.008180009,,,0.003636318,,,0.014726186,,-0.010050251,0.033451194,-0.001663894,-0.012765957,,,,-0.01559633,0.005706134,0.029782758,-0.01559633,0.005706134,0.029782758,0.001372994
1/26/1999,0.035852803,,0.035852803,-0.015634772,0.013974975,,0.053158179,0.011682665,,,0.0,,0.071672266,,-0.007189681,,,-0.009347499,,0.011363636,-0.023994121,0.006485084,0.0,,,,-0.024444078,,,0.023661555,0.0,0.009345794,,,0.041558442,,0.0,0.024701609,0.004093209,0.0,-0.042296073,0.003585319,,0.007254099,,,,0.025773822,0.069882638,,,0.007246285,,,-0.003156014,,0.002538071,0.035979332,0.001666667,0.015086207,,,,-0.007455732,0.007801418,0.018653236,-0.007455732,0.007801418,0.018653236,0.000283936
1/27/1999,0.0,,0.0,-0.038754765,0.017611059,,0.041008817,0.023095512,,,0.018970989,,0.033439452,,0.0,,,0.0,,0.007778738,-0.032791205,0.006443299,-0.005499546,,,,0.027141796,,,-0.01094917,-0.007986205,0.037037037,,,0.007481297,,0.0,0.008035383,0.00204431,0.0,0.010252366,0.00952429,,0.040287703,,,,0.092964658,-0.016012898,,,0.019184412,,,-0.005062571,,0.082278481,0.04513812,0.013311148,-0.000707714,,,,-0.005633803,0.007741027,-0.017396081,-0.005633803,0.007741027,-0.017396081,0.001389397
1/28/1999,0.034609641,,0.034609641,-0.001982816,0.020315975,,0.02727989,-0.004514285,,,0.02659264,,-0.037749359,,0.094200794,,,0.0,,0.007204117,-0.008466,0.005121639,-0.017510779,,,,0.046750557,,,0.008610443,0.004829599,0.083333333,,,0.022277228,,0.021645022,-0.003181833,0.0,0.0,0.06323185,0.0,,0.01382805,,,,0.027586864,0.023984387,,,0.023530001,,,0.005088332,,0.032748538,-0.009968032,0.009852217,0.004957507,,,,-0.014164306,-0.011871508,0.053121062,-0.014164306,-0.011871508,0.053121062,0.00552004
1/29/1999,0.056152376,,0.056152376,0.030463576,-0.014749255,,0.005895887,0.043084291,,,0.002594201,,0.000799325,,0.026490887,,,0.0,,0.019243869,0.085461362,0.011464968,-0.000470196,,,,-0.023304935,,,0.1195119,0.000801355,0.068681319,,,0.123486683,,0.016949153,0.0,0.073318244,-0.004583214,0.091042584,0.0,,0.07230665,,,,0.085013157,-0.002927826,,,0.037930546,,,0.020254626,,0.115515289,0.003349928,0.011382114,0.028188865,,,,0.042145594,0.032508834,0.080532897,0.042145594,0.032508834,0.080532897,0.019280845
2/1/1999,0.062216747,,0.062216747,0.018637532,0.017963981,,0.090906203,0.071739478,,,0.00774817,,0.016000278,,0.096772803,,,0.0,,-0.010025063,0.165367715,-0.002518892,0.0,,,,-0.017887721,,,0.045751588,0.0,0.025706941,,,0.269396552,,0.0,0.00640078,0.0,0.01381295,0.043741588,0.003535235,,0.064887,,,,0.012371398,0.002936424,,,-0.00498374,,,0.004962067,,0.022335025,0.143816369,0.022508039,0.026045236,,,,0.055147059,-0.018480493,0.031935054,0.055147059,-0.018480493,0.031935054,0.003115083
2/2/1999,-0.001063769,,-0.001063769,-0.020820189,0.015441453,,-0.013439529,-0.007099387,,,0.0,,0.007875156,,0.02940876,,,0.0,,0.002531646,0.054045247,0.0,-0.005160749,,,,-0.010125898,,,0.041666698,-0.012809667,-0.005012531,,,0.032258065,,0.027083333,-0.01272014,0.068309883,0.013766676,-0.018697614,0.012927537,,0.0,,,,0.0,-0.014221403,,,0.01224331,,,0.009877249,,-0.007944389,-0.032165213,0.0,0.000668003,,,,-0.020905923,0.044630404,0.003975091,-0.020905923,0.044630404,0.003975091,-0.009493992
2/3/1999,0.01172737,,0.01172737,-0.00128866,-0.010861886,,0.0,-0.007150148,,,0.0,,0.040624052,,0.005718299,,,0.0,,-0.002525253,0.057692591,-0.007575758,0.001413935,,,,-0.026586727,,,0.014000223,0.007299926,0.0302267,,,0.009868421,,0.004056795,-0.02737433,0.035526849,0.044939101,-0.053876478,0.011599763,,0.011944669,,,,0.044803624,0.001698801,,,0.003847809,,,0.050732762,,0.012012012,0.024169564,-0.001572327,-0.018691589,,,,0.018683274,0.046061415,0.0,0.018683274,0.046061415,0.0,0.00091931
2/4/1999,0.002107015,,0.002107015,-0.021935484,0.010248817,,-0.019068703,-0.002058676,,,0.0,,0.006005724,,0.0,,,0.0,,-0.006751055,0.018177263,-0.007633588,-0.002354775,,,,-0.006295132,,,-0.018737892,0.005634824,0.009779951,,,-0.084690554,,0.01010101,0.004971838,0.00514442,0.034565916,0.000694444,0.074544299,,-0.003541103,,,,-0.013643713,-0.055485679,,,-0.00383306,,,0.047120419,,0.003956479,0.026552147,0.0,-0.008163265,,,,-0.005240175,0.001276324,-0.001588257,-0.005240175,0.001276324,-0.001588257,-0.011859544
2/5/1999,-0.00525741,,-0.00525741,-0.013192612,0.028985893,,-0.019454433,-0.010309638,,,-0.005125732,,0.011194698,,0.005678195,,,0.0,,-0.001699235,-0.011892719,0.001282051,0.010859696,,,,-0.016919013,,,-0.018090537,0.005604991,0.007263923,,,-0.021352313,,0.01,0.026344923,0.00511809,0.012432012,0.017349063,0.011737749,,-0.018960642,,,,0.0,-0.032735751,,,0.019790842,,,-0.028889524,,0.007881773,0.005745203,-0.001574803,0.006858711,,,,0.006145742,-0.027405991,0.019798099,0.006145742,-0.027405991,0.019798099,-0.002799575
