security_ticker,market_ticker,event_date
ANTO LN Equity,FTSE ALL SHARES,03/08/04
ASHM LN Equity,FTSE ALL SHARES,09/19/11
ATST LN Equity,FTSE ALL SHARES,02/07/08
AU/ LN Equity,FTSE ALL SHARES,12/18/00
AU/ LN Equity,FTSE ALL SHARES,09/22/08
AUTO LN Equity,FTSE ALL SHARES,12/31/18
AVST LN Equity,FTSE ALL SHARES,06/22/20
AVV LN Equity,FTSE ALL SHARES,06/24/19
BAB LN Equity,FTSE ALL SHARES,06/18/12
BB/ LN Equity,FTSE ALL SHARES,07/02/02
BB/ LN Equity,FTSE ALL SHARES,09/05/06
BDEV LN Equity,FTSE ALL SHARES,06/18/07
BDEV LN Equity,FTSE ALL SHARES,03/24/14
BDEV LN Equity,FTSE ALL SHARES,12/22/14
BEZ LN Equity,FTSE ALL SHARES,12/19/22
BGY LN Equity,FTSE ALL SHARES,01/26/06
BGY LN Equity,FTSE ALL SHARES,06/26/07
BHM LN Equity,FTSE ALL SHARES,06/19/00
BI/ LN Equity,FTSE ALL SHARES,08/07/01
BI/ LN Equity,FTSE ALL SHARES,12/13/05
BKG LN Equity,FTSE ALL SHARES,09/18/17
BKG LN Equity,FTSE ALL SHARES,09/21/15
BLND LN Equity,FTSE ALL SHARES,09/24/01
BME LN Equity,FTSE ALL SHARES,09/21/20
BNZL LN Equity,FTSE ALL SHARES,06/24/02
BNZL LN Equity,FTSE ALL SHARES,04/30/08
BNZL LN Equity,FTSE ALL SHARES,09/19/11
BPB LN Equity,FTSE ALL SHARES,06/20/05
BPTY LN Equity,FTSE ALL SHARES,09/19/05
BT/A LN Equity,FTSE ALL SHARES,11/19/01
CCH LN Equity,FTSE ALL SHARES,09/23/13
CCL LN Equity,FTSE ALL SHARES,10/23/00
CCL LN Equity,FTSE ALL SHARES,12/08/05
CCL LN Equity,FTSE ALL SHARES,12/24/01
CNA LN Equity,FTSE ALL SHARES,06/20/22
COB LN Equity,FTSE ALL SHARES,03/26/08
CPG LN Equity,FTSE ALL SHARES,02/02/01
CPI LN Equity,FTSE ALL SHARES,03/20/00
CPI LN Equity,FTSE ALL SHARES,06/21/04
CRDA LN Equity,FTSE ALL SHARES,03/19/12
CRH LN Equity,FTSE ALL SHARES,12/19/11
CS/ LN Equity,FTSE ALL SHARES,03/18/02
CS/ LN Equity,FTSE ALL SHARES,03/09/06
CS/ LN Equity,FTSE ALL SHARES,11/16/04
CTEC LN Equity,FTSE ALL SHARES,12/19/16
CTEC LN Equity,FTSE ALL SHARES,09/19/22
CURY LN Equity,FTSE ALL SHARES,09/22/14
CW/ LN Equity,FTSE ALL SHARES,03/24/03
CW/ LN Equity,FTSE ALL SHARES,11/27/06
CWC LN Equity,FTSE ALL SHARES,03/20/00
CWG LN Equity,FTSE ALL SHARES,10/17/00
DARK LN Equity,FTSE ALL SHARES,10/27/21
DCC LN Equity,FTSE ALL SHARES,12/21/15
DLG LN Equity,FTSE ALL SHARES,09/22/14
DMGT LN Equity,FTSE ALL SHARES,03/19/07
DPH LN Equity,FTSE ALL SHARES,12/20/21
DPH LN Equity,FTSE ALL SHARES,09/18/23
DPLM LN Equity,FTSE ALL SHARES,09/18/23
DRX LN Equity,FTSE ALL SHARES,06/19/06
DRX LN Equity,FTSE ALL SHARES,06/23/08
DWL LN Equity,FTSE ALL SHARES,04/20/23
DWL LN Equity,FTSE ALL SHARES,04/25/23
EDV LN Equity,FTSE ALL SHARES,03/21/22
EIG LN Equity,FTSE ALL SHARES,03/22/04
EMG LN Equity,FTSE ALL SHARES,09/24/01
ENRC LN Equity,FTSE ALL SHARES,03/26/08
ENT LN Equity,FTSE ALL SHARES,06/18/18
ENT LN Equity,FTSE ALL SHARES,06/22/20
ESSR LN Equity,FTSE ALL SHARES,06/21/10
EVR LN Equity,FTSE ALL SHARES,12/19/11
EVR LN Equity,FTSE ALL SHARES,01/15/18
EXL LN Equity,FTSE ALL SHARES,05/10/02
EXPN LN Equity,FTSE ALL SHARES,10/11/06
EZJ LN Equity,FTSE ALL SHARES,03/18/13
EZJ LN Equity,FTSE ALL SHARES,12/23/19
FCIT LN Equity,FTSE ALL SHARES,09/19/22
FCIT LN Equity,FTSE ALL SHARES,03/24/03
FCIT LN Equity,FTSE ALL SHARES,03/23/09
FGP LN Equity,FTSE ALL SHARES,12/24/07
FRAS LN Equity,FTSE ALL SHARES,09/13/22
FRAS LN Equity,FTSE ALL SHARES,09/23/13
FRES LN Equity,FTSE ALL SHARES,09/22/08
FRES LN Equity,FTSE ALL SHARES,03/23/09
FRES LN Equity,FTSE ALL SHARES,03/23/20
FXPO LN Equity,FTSE ALL SHARES,06/23/08
GAA LN Equity,FTSE ALL SHARES,07/27/00
GFS LN Equity,FTSE ALL SHARES,12/24/07
GFS LN Equity,FTSE ALL SHARES,06/19/17
GKN LN Equity,FTSE ALL SHARES,05/29/02
GLEN LN Equity,FTSE ALL SHARES,05/25/11
GLEN LN Equity,FTSE ALL SHARES,02/02/01
GLH LN Equity,FTSE ALL SHARES,09/10/01
GSK LN Equity,FTSE ALL SHARES,12/27/00
HAS LN Equity,FTSE ALL SHARES,12/22/03
HBOS LN Equity,FTSE ALL SHARES,09/10/01
HBR LN Equity,FTSE ALL SHARES,05/12/22
HBR LN Equity,FTSE ALL SHARES,09/19/22
HIK LN Equity,FTSE ALL SHARES,03/20/15
HIK LN Equity,FTSE ALL SHARES,06/20/16
HIK LN Equity,FTSE ALL SHARES,12/24/18
HIK LN Equity,FTSE ALL SHARES,09/23/19
HIK LN Equity,FTSE ALL SHARES,09/18/23
HL/ LN Equity,FTSE ALL SHARES,03/21/11
HLMA LN Equity,FTSE ALL SHARES,12/18/17
HLN LN Equity,FTSE ALL SHARES,07/18/22
HMSO LN Equity,FTSE ALL SHARES,06/20/05
HNS LN Equity,FTSE ALL SHARES,06/19/00
HNS LN Equity,FTSE ALL SHARES,12/27/00
HSV LN Equity,FTSE ALL SHARES,06/22/20
HSV LN Equity,FTSE ALL SHARES,09/12/22
HSX LN Equity,FTSE ALL SHARES,12/24/18
HSX LN Equity,FTSE ALL SHARES,01/18/23
HWDN LN Equity,FTSE ALL SHARES,03/21/22
HWDN LN Equity,FTSE ALL SHARES,09/25/23
IAP LN Equity,FTSE ALL SHARES,06/30/06
ICG LN Equity,FTSE ALL SHARES,03/23/20
ICG LN Equity,FTSE ALL SHARES,12/18/23
IDS LN Equity,FTSE ALL SHARES,12/23/13
IDS LN Equity,FTSE ALL SHARES,03/19/18
IDS LN Equity,FTSE ALL SHARES,05/28/21
III LN Equity,FTSE ALL SHARES,06/22/09
III LN Equity,FTSE ALL SHARES,06/23/14
IMB LN Equity,FTSE ALL SHARES,07/27/00
IMI LN Equity,FTSE ALL SHARES,12/20/10
IMI LN Equity,FTSE ALL SHARES,06/19/23
INF LN Equity,FTSE ALL SHARES,03/21/16
INTU LN Equity,FTSE ALL SHARES,06/23/14
INTU LN Equity,FTSE ALL SHARES,12/23/02
INVP LN Equity,FTSE ALL SHARES,03/22/10
IPR LN Equity,FTSE ALL SHARES,03/21/05
ISAT LN Equity,FTSE ALL SHARES,09/22/08
ISAT LN Equity,FTSE ALL SHARES,06/22/15
ISYS LN Equity,FTSE ALL SHARES,06/23/08
ITRK LN Equity,FTSE ALL SHARES,03/23/09
ITV LN Equity,FTSE ALL SHARES,03/21/11
ITV LN Equity,FTSE ALL SHARES,06/21/21
JD/ LN Equity,FTSE ALL SHARES,06/24/19
JE/ LN Equity,FTSE ALL SHARES,12/18/17
JE/ LN Equity,FTSE ALL SHARES,03/18/19
JE/ LN Equity,FTSE ALL SHARES,12/23/19
JE/ LN Equity,FTSE ALL SHARES,02/05/20
JMAT LN Equity,FTSE ALL SHARES,06/24/02
JMAT LN Equity,FTSE ALL SHARES,01/04/23
KAZ LN Equity,FTSE ALL SHARES,12/19/05
KEL LN Equity,FTSE ALL SHARES,03/24/03
KEL LN Equity,FTSE ALL SHARES,07/26/05
KEL LN Equity,FTSE ALL SHARES,12/24/07
KGF LN Equity,FTSE ALL SHARES,06/22/20
LMI LN Equity,FTSE ALL SHARES,06/19/06
LMI LN Equity,FTSE ALL SHARES,03/23/09
LSEG LN Equity,FTSE ALL SHARES,12/04/07
