security_ticker,market_ticker,event_date
IDS LN Equity,FTSE ALL SHARES,5/28/2021
III LN Equity,FTSE ALL SHARES,6/22/2009
III LN Equity,FTSE ALL SHARES,6/23/2014
IMB LN Equity,FTSE ALL SHARES,7/27/2000
IMI LN Equity,FTSE ALL SHARES,12/20/2010
IMI LN Equity,FTSE ALL SHARES,6/19/2023
INF LN Equity,FTSE ALL SHARES,3/21/2016
INTU LN Equity,FTSE ALL SHARES,6/23/2014
INTU LN Equity,FTSE ALL SHARES,12/23/2002
INVP LN Equity,FTSE ALL SHARES,3/22/2010
IPR LN Equity,FTSE ALL SHARES,3/21/2005
ISAT LN Equity,FTSE ALL SHARES,9/22/2008
ISAT LN Equity,FTSE ALL SHARES,6/22/2015
ISYS LN Equity,FTSE ALL SHARES,6/23/2008
ITRK LN Equity,FTSE ALL SHARES,3/23/2009
ITV LN Equity,FTSE ALL SHARES,3/21/2011
ITV LN Equity,FTSE ALL SHARES,6/21/2021
JD/ LN Equity,FTSE ALL SHARES,6/24/2019
JE/ LN Equity,FTSE ALL SHARES,12/18/2017
JE/ LN Equity,FTSE ALL SHARES,3/18/2019
JMAT LN Equity,FTSE ALL SHARES,6/24/2002
JMAT LN Equity,FTSE ALL SHARES,1/4/2023
KEL LN Equity,FTSE ALL SHARES,3/24/2003
KEL LN Equity,FTSE ALL SHARES,7/26/2005
KGF LN Equity,FTSE ALL SHARES,6/22/2020
LMI LN Equity,FTSE ALL SHARES,6/19/2006
LMI LN Equity,FTSE ALL SHARES,3/23/2009
LSEG LN Equity,FTSE ALL SHARES,12/4/2007
LSEG LN Equity,FTSE ALL SHARES,6/22/2009
LSEG LN Equity,FTSE ALL SHARES,3/18/2013
MAB LN Equity,FTSE ALL SHARES,4/20/2007
MCRO LN Equity,FTSE ALL SHARES,9/5/2016
MDC LN Equity,FTSE ALL SHARES,3/21/2016
MERL LN Equity,FTSE ALL SHARES,4/13/2015
MGGT LN Equity,FTSE ALL SHARES,10/7/2011
MGGT LN Equity,FTSE ALL SHARES,9/20/2021
MGGT LN Equity,FTSE ALL SHARES,9/23/2019
MKS LN Equity,FTSE ALL SHARES,9/18/2023
MNDI LN Equity,FTSE ALL SHARES,9/23/2013
MRO LN Equity,FTSE ALL SHARES,9/24/2012
MRO LN Equity,FTSE ALL SHARES,4/24/2018
