security_ticker,market_ticker,event_date
EMG LN Equity,FTSE ALL SHARES,09/24/01
ENT LN Equity,FTSE ALL SHARES,06/18/18
ENT LN Equity,FTSE ALL SHARES,06/22/20
EVR LN Equity,FTSE ALL SHARES,01/15/18
EXL LN Equity,FTSE ALL SHARES,05/10/02
EZJ LN Equity,FTSE ALL SHARES,03/18/13
EZJ LN Equity,FTSE ALL SHARES,12/23/19
FCIT LN Equity,FTSE ALL SHARES,09/19/22
FCIT LN Equity,FTSE ALL SHARES,03/24/03
FCIT LN Equity,FTSE ALL SHARES,03/23/09
FGP LN Equity,FTSE ALL SHARES,12/24/07
FRAS LN Equity,FTSE ALL SHARES,09/13/22
FRAS LN Equity,FTSE ALL SHARES,09/23/13
FRES LN Equity,FTSE ALL SHARES,03/23/20
GFS LN Equity,FTSE ALL SHARES,12/24/07
GFS LN Equity,FTSE ALL SHARES,06/19/17
GKN LN Equity,FTSE ALL SHARES,05/29/02
GLH LN Equity,FTSE ALL SHARES,09/10/01
GSK LN Equity,FTSE ALL SHARES,12/27/00
HAS LN Equity,FTSE ALL SHARES,12/22/03
HBR LN Equity,FTSE ALL SHARES,05/12/22
HBR LN Equity,FTSE ALL SHARES,09/19/22
HIK LN Equity,FTSE ALL SHARES,03/20/15
HIK LN Equity,FTSE ALL SHARES,06/20/16
HIK LN Equity,FTSE ALL SHARES,12/24/18
HIK LN Equity,FTSE ALL SHARES,09/23/19
HIK LN Equity,FTSE ALL SHARES,09/18/23
HL/ LN Equity,FTSE ALL SHARES,03/21/11
HLMA LN Equity,FTSE ALL SHARES,12/18/17
HMSO LN Equity,FTSE ALL SHARES,06/20/05
HNS LN Equity,FTSE ALL SHARES,06/19/00
HNS LN Equity,FTSE ALL SHARES,12/27/00
HSV LN Equity,FTSE ALL SHARES,06/22/20
HSV LN Equity,FTSE ALL SHARES,09/12/22
HSX LN Equity,FTSE ALL SHARES,12/24/18
HSX LN Equity,FTSE ALL SHARES,01/18/23
HWDN LN Equity,FTSE ALL SHARES,03/21/22
HWDN LN Equity,FTSE ALL SHARES,09/25/23
IAP LN Equity,FTSE ALL SHARES,06/30/06
ICG LN Equity,FTSE ALL SHARES,03/23/20
ICG LN Equity,FTSE ALL SHARES,12/18/23
IDS LN Equity,FTSE ALL SHARES,03/19/18
IDS LN Equity,FTSE ALL SHARES,05/28/21
III LN Equity,FTSE ALL SHARES,06/22/09
III LN Equity,FTSE ALL SHARES,06/23/14
IMB LN Equity,FTSE ALL SHARES,07/27/00
IMI LN Equity,FTSE ALL SHARES,12/20/10
IMI LN Equity,FTSE ALL SHARES,06/19/23
INF LN Equity,FTSE ALL SHARES,03/21/16
INTU LN Equity,FTSE ALL SHARES,06/23/14
INTU LN Equity,FTSE ALL SHARES,12/23/02
INVP LN Equity,FTSE ALL SHARES,03/22/10
IPR LN Equity,FTSE ALL SHARES,03/21/05
ISAT LN Equity,FTSE ALL SHARES,09/22/08
ISAT LN Equity,FTSE ALL SHARES,06/22/15
ISYS LN Equity,FTSE ALL SHARES,06/23/08
ITRK LN Equity,FTSE ALL SHARES,03/23/09
ITV LN Equity,FTSE ALL SHARES,03/21/11
ITV LN Equity,FTSE ALL SHARES,06/21/21
JD/ LN Equity,FTSE ALL SHARES,06/24/19
JE/ LN Equity,FTSE ALL SHARES,12/18/17
JE/ LN Equity,FTSE ALL SHARES,03/18/19
JMAT LN Equity,FTSE ALL SHARES,06/24/02
JMAT LN Equity,FTSE ALL SHARES,01/04/23
KEL LN Equity,FTSE ALL SHARES,03/24/03
KEL LN Equity,FTSE ALL SHARES,07/26/05
KGF LN Equity,FTSE ALL SHARES,06/22/20
LMI LN Equity,FTSE ALL SHARES,06/19/06
LMI LN Equity,FTSE ALL SHARES,03/23/09
LSEG LN Equity,FTSE ALL SHARES,12/04/07
LSEG LN Equity,FTSE ALL SHARES,06/22/09
LSEG LN Equity,FTSE ALL SHARES,03/18/13
MAB LN Equity,FTSE ALL SHARES,04/20/07
MCRO LN Equity,FTSE ALL SHARES,09/05/16
MDC LN Equity,FTSE ALL SHARES,03/21/16
MERL LN Equity,FTSE ALL SHARES,04/13/15
MGGT LN Equity,FTSE ALL SHARES,10/07/11
MGGT LN Equity,FTSE ALL SHARES,09/20/21
MGGT LN Equity,FTSE ALL SHARES,09/23/19
MKS LN Equity,FTSE ALL SHARES,09/18/23
MNDI LN Equity,FTSE ALL SHARES,09/23/13
MRO LN Equity,FTSE ALL SHARES,09/24/12
MRO LN Equity,FTSE ALL SHARES,04/24/18
MRW LN Equity,FTSE ALL SHARES,03/21/16
MRW LN Equity,FTSE ALL SHARES,04/10/01
NMC LN Equity,FTSE ALL SHARES,09/18/17
NRK LN Equity,FTSE ALL SHARES,09/24/01
NXT LN Equity,FTSE ALL SHARES,06/18/01
OCDO LN Equity,FTSE ALL SHARES,06/18/18
PFC LN Equity,FTSE ALL SHARES,06/23/08
PFC LN Equity,FTSE ALL SHARES,03/23/09
PHNX LN Equity,FTSE ALL SHARES,03/18/19
PNN LN Equity,FTSE ALL SHARES,06/29/12
PNN LN Equity,FTSE ALL SHARES,03/23/20
POLY LN Equity,FTSE ALL SHARES,09/19/16
POLY LN Equity,FTSE ALL SHARES,09/23/19
PON LN Equity,FTSE ALL SHARES,03/20/00
PSH LN Equity,FTSE ALL SHARES,12/21/20
PSN LN Equity,FTSE ALL SHARES,12/19/05
PSN LN Equity,FTSE ALL SHARES,06/24/13
PUB LN Equity,FTSE ALL SHARES,04/17/07
PWG LN Equity,FTSE ALL SHARES,07/12/00
REX LN Equity,FTSE ALL SHARES,09/23/02
REX LN Equity,FTSE ALL SHARES,02/15/16
RMV LN Equity,FTSE ALL SHARES,06/28/18
RR/ LN Equity,FTSE ALL SHARES,12/18/00
RR/ LN Equity,FTSE ALL SHARES,06/23/03
RRS LN Equity,FTSE ALL SHARES,12/22/08
RS1 LN Equity,FTSE ALL SHARES,09/18/00
RS1 LN Equity,FTSE ALL SHARES,12/20/21
RSW LN Equity,FTSE ALL SHARES,03/22/21
RTO LN Equity,FTSE ALL SHARES,03/20/17
RTO LN Equity,FTSE ALL SHARES,08/22/07
RTO LN Equity,FTSE ALL SHARES,09/21/09
SCTN LN Equity,FTSE ALL SHARES,06/19/00
SCTN LN Equity,FTSE ALL SHARES,03/19/01
SDR LN Equity,FTSE ALL SHARES,03/30/07
SFW LN Equity,FTSE ALL SHARES,12/18/00
SGC LN Equity,FTSE ALL SHARES,09/22/08
SGRO LN Equity,FTSE ALL SHARES,09/21/09
SGRO LN Equity,FTSE ALL SHARES,06/19/17
SGRO LN Equity,FTSE ALL SHARES,07/31/06
SHP LN Equity,FTSE ALL SHARES,10/26/00
SKG LN Equity,FTSE ALL SHARES,12/19/16
SMDS LN Equity,FTSE ALL SHARES,12/18/17
SMIN LN Equity,FTSE ALL SHARES,12/18/00
SMIN LN Equity,FTSE ALL SHARES,06/27/16
SMT LN Equity,FTSE ALL SHARES,03/20/17
SN/ LN Equity,FTSE ALL SHARES,07/12/01
SPT LN Equity,FTSE ALL SHARES,09/18/00
SPX LN Equity,FTSE ALL SHARES,12/24/18
SRP LN Equity,FTSE ALL SHARES,12/22/08
STJ LN Equity,FTSE ALL SHARES,03/24/14
SVT LN Equity,FTSE ALL SHARES,09/24/01
TATE LN Equity,FTSE ALL SHARES,12/20/04
TCG LN Equity,FTSE ALL SHARES,12/22/08
TCG LN Equity,FTSE ALL SHARES,06/20/11
TLW LN Equity,FTSE ALL SHARES,09/24/07
TOMK LN Equity,FTSE ALL SHARES,09/23/02
TPK LN Equity,FTSE ALL SHARES,06/24/13
TT/ LN Equity,FTSE ALL SHARES,12/24/12
TW/ LN Equity,FTSE ALL SHARES,09/24/07
TW/ LN Equity,FTSE ALL SHARES,12/22/14
UTG LN Equity,FTSE ALL SHARES,06/20/22
VANQ LN Equity,FTSE ALL SHARES,12/21/15
VED LN Equity,FTSE ALL SHARES,06/19/06
WEIR LN Equity,FTSE ALL SHARES,09/20/10
WEIR LN Equity,FTSE ALL SHARES,03/22/21
WEIR LN Equity,FTSE ALL SHARES,12/19/22
WG/ LN Equity,FTSE ALL SHARES,04/28/08
WG/ LN Equity,FTSE ALL SHARES,03/21/11
WG/ LN Equity,FTSE ALL SHARES,09/24/12
WG/ LN Equity,FTSE ALL SHARES,10/12/18
WMH LN Equity,FTSE ALL SHARES,04/08/04
WTB LN Equity,FTSE ALL SHARES,12/23/02
WTB LN Equity,FTSE ALL SHARES,12/18/06
WTB LN Equity,FTSE ALL SHARES,09/21/09
